time,yaw_rate_deg,steering_angle_deg
0.02,-2.000316521,3.4
0.04,-2.000316521,3.4
0.06,-1.79049311,3.3
0.08,-1.930375384,3.3
0.1,-1.930375384,3.3
0.12,-1.860434247,3.3
0.14,-2.210139932,3.3
0.16,-2.000316521,3.3
0.18,-2.000316521,3.3
0.2,-2.000316521,3.3
0.22,-1.579795434,3.3
0.24,-1.860434247,3.3
0.26,-1.510728561,3.3
0.28,-1.510728561,3.3
0.3,-1.510728561,3.3
0.32,-1.930375384,3.3
0.34,-1.79049311,3.3
0.36,-1.79049311,3.3
0.38,-1.650610836,3.3
0.4,-1.650610836,3.3
0.42,-1.650610836,3.3
0.44,-2.000316521,3.3
0.46,-1.79049311,3.3
0.48,-2.070257658,3.3
0.5,-2.280955334,3.3
0.52,-2.070257658,3.3
0.54,-2.070257658,3.3
0.56,-1.650610836,3.3
0.58,-1.930375384,3.4
0.6,-1.720551973,3.4
0.62,-1.579795434,3.4
0.64,-2.210139932,3.4
0.66,-2.070257658,3.4
0.68,-2.070257658,3.5
0.7,-2.000316521,3.5
0.72,-2.070257658,3.5
0.74,-2.210139932,3.6
0.76,-1.860434247,3.7
0.78,-2.420837608,3.8
0.8,-2.210139932,3.8
0.82,-2.210139932,3.8
0.84,-2.700602156,3.9
0.86,-2.350022207,4
0.88,-2.210139932,4
0.9,-2.280955334,4.1
0.92,-2.210139932,4.1
0.94,-2.210139932,4.1
0.96,-2.14107306,4.1
0.98,-2.420837608,4.1
1,-2.700602156,4
1.02,-2.280955334,4
1.04,-2.210139932,4
1.06,-2.000316521,4
1.08,-1.930375384,4
1.1,-2.280955334,4
1.12,-2.210139932,4
1.14,-2.210139932,4
1.16,-2.210139932,4
1.18,-2.350022207,3.9
1.2,-2.14107306,3.7
1.22,-2.280955334,3.7
1.24,-2.210139932,3.6
1.26,-2.210139932,3.4
1.28,-1.930375384,3.3
1.3,-2.000316521,3.1
1.32,-2.14107306,3.1
1.34,-2.000316521,2.9
1.36,-2.14107306,2.8
1.38,-2.000316521,2.8
1.4,-1.79049311,2.8
1.42,-1.79049311,2.8
1.44,-1.720551973,2.9
1.46,-1.79049311,2.9
1.48,-1.79049311,3
1.5,-1.79049311,3
1.52,-2.000316521,3
1.54,-1.79049311,3
1.56,-1.860434247,2.9
