time,yaw_rate_deg,steering_angle_deg
0.02,0.304243946,-4.2
0.04,0.444126221,-4.4
0.06,0.374185083,-4.6
0.08,0.304243946,-4.6
0.1,0.374185083,-4.6
0.12,0.374185083,-4.6
0.14,0.584008495,-4.7
0.16,0.024479398,-4.6
0.18,0.233428545,-4.6
0.2,0.584008495,-4.5
0.22,0.723890769,-4.4
0.24,0.444126221,-4.3
0.26,0.514067358,-4.2
0.28,0.514067358,-4.2
0.3,1.424176404,-4.1
0.32,1.003655317,-4.1
0.34,0.653949632,-4
0.36,0.93371418,-4
0.38,0.863773043,-4
0.4,0.653949632,-4
0.42,0.374185083,-4
0.44,0.723890769,-4
0.46,1.143537592,-4
0.48,0.723890769,-4
0.5,0.584008495,-4
0.52,0.723890769,-4
0.54,0.584008495,-4
0.56,0.514067358,-3.9
0.58,0.444126221,-3.9
0.6,0.374185083,-3.9
0.62,0.304243946,-3.8
0.64,0.304243946,-3.8
0.66,0.024479398,-3.7
0.68,0.164361672,-3.6
0.7,0.304243946,-3.6
0.72,0.444126221,-3.5
0.74,0.304243946,-3.3
0.76,0.304243946,-3.2
0.78,0.374185083,-3.2
0.8,0.444126221,-3
0.82,0.374185083,-2.9
0.84,0.093546271,-2.8
0.86,0.164361672,-2.6
0.88,0.374185083,-2.6
0.9,0.444126221,-2.5
0.92,0.233428545,-2.4
0.94,0.233428545,-2.3
0.96,0.374185083,-2.2
0.98,0.304243946,-2.2
1,0.374185083,-2.2
1.02,-0.186218278,-2.1
1.04,0.233428545,-2.1
1.06,0.304243946,-2.1
1.08,0.233428545,-2.1
1.1,0.374185083,-2.1
1.12,0.093546271,-2.1
1.14,0.093546271,-2
1.16,0.233428545,-2
1.18,0.093546271,-1.9
1.2,-0.046336003,-1.9
1.22,0.164361672,-1.9
1.24,0.093546271,-1.8
1.26,-0.046336003,-1.7
1.28,0.093546271,-1.7
1.3,-0.046336003,-1.7
1.32,0.024479398,-1.7
1.34,0.093546271,-1.7
1.36,-0.046336003,-1.6
1.38,0.093546271,-1.6
1.4,0.164361672,-1.6
1.42,0.164361672,-1.6
1.44,0.024479398,-1.5
1.46,0.304243946,-1.5
1.48,-0.256159415,-1.5
1.5,0.024479398,-1.5
1.52,0.024479398,-1.5
1.54,-0.326100552,-1.5
1.56,0.093546271,-1.5
1.58,-0.046336003,-1.5
1.6,-0.186218278,-1.5
1.62,-0.046336003,-1.5
1.64,-0.186218278,-1.5
1.66,-0.326100552,-1.5
1.68,-0.11627714,-1.4
1.7,-0.11627714,-1.4
1.72,0.024479398,-1.3
1.74,-0.256159415,-1.3
1.76,0.024479398,-1.3
1.78,0.164361672,-1.3
1.8,-0.046336003,-1.2
1.82,-0.11627714,-1.3
1.84,-0.046336003,-1.3
1.86,0.164361672,-1.3
1.88,0.093546271,-1.2
1.9,0.024479398,-1.2
1.92,-0.046336003,-1.2
1.94,0.164361672,-1.3
1.96,0.024479398,-1.3
1.98,-0.11627714,-1.2
2,0.093546271,-1.2
2.02,-0.11627714,-1.2
2.04,0.024479398,-1.2
2.06,0.164361672,-1.2
2.08,-0.046336003,-1.1
2.1,0.093546271,-1.1
2.12,-0.186218278,-1.1
2.14,-0.186218278,-1.1
2.16,-0.326100552,-1.1
2.18,-0.326100552,-1.1
2.2,-0.046336003,-1.1
2.22,0.024479398,-1.1
2.24,-0.326100552,-1.1
2.26,-0.11627714,-1.1
2.28,-0.046336003,-1.1
2.3,-0.186218278,-1.1
2.32,-0.256159415,-1.1
2.34,-0.186218278,-1.1
2.36,-0.046336003,-1
2.38,0.024479398,-1
2.4,-0.11627714,-1
2.42,0.024479398,-1
2.44,0.164361672,-1
2.46,-0.11627714,-1
2.48,0.164361672,-1
2.5,0.164361672,-1
2.52,-0.046336003,-1
2.54,-0.11627714,-1
2.56,0.024479398,-1
2.58,-0.11627714,-1
2.6,-0.11627714,-1
2.62,0.093546271,-1
2.64,-0.186218278,-1
2.66,-0.046336003,-1
2.68,-0.186218278,-1
2.7,-0.046336003,-1
2.72,0.024479398,-1
2.74,-0.186218278,-1
2.76,0.093546271,-1.1
2.78,0.093546271,-1.1
2.8,0.024479398,-1.2
2.82,0.024479398,-1.2
2.84,-0.046336003,-1.4
2.86,0.093546271,-1.4
2.88,0.653949632,-1.5
2.9,0.024479398,-1.6
2.92,0.024479398,-1.8
2.94,0.164361672,-1.8
2.96,0.164361672,-2
2.98,0.233428545,-2.1
3,-0.046336003,-2.1
3.02,0.164361672,-2.1
3.04,0.093546271,-2.1
3.06,0.233428545,-2.1
3.08,0.164361672,-2.1
3.1,-0.046336003,-2.1
3.12,-0.11627714,-2.1
3.14,0.164361672,-2.2
3.16,0.444126221,-2.2
3.18,0.164361672,-2.1
3.2,0.024479398,-2.1
3.22,-0.11627714,-2.1
3.24,0.164361672,-2.1
3.26,0.093546271,-2.1
3.28,-0.046336003,-2.1
3.3,0.164361672,-2.1
3.32,0.093546271,-2.1
3.34,0.374185083,-2.1
3.36,0.164361672,-2.1
3.38,0.024479398,-2.2
3.4,0.304243946,-2.1
3.42,0.374185083,-2.1
3.44,0.304243946,-2.1
3.46,0.233428545,-2.1
3.48,0.233428545,-2
3.5,0.164361672,-2
3.52,0.444126221,-2
3.54,0.164361672,-1.9
3.56,0.233428545,-1.9
3.58,0.093546271,-1.9
3.6,0.164361672,-1.9
3.62,-0.046336003,-1.9
3.64,-0.535923963,-1.9
3.66,-0.396041689,-2
3.68,0.093546271,-2
3.7,0.093546271,-2.1
3.72,-0.396041689,-2.1
3.74,-0.326100552,-2.1
3.76,-0.256159415,-2.2
3.78,-0.046336003,-2.2
3.8,0.024479398,-2.2
3.82,-0.046336003,-2.3
3.84,0.024479398,-2.5
3.86,0.233428545,-2.5
3.88,0.233428545,-2.6
3.9,0.164361672,-2.6
3.92,0.233428545,-2.6
3.94,0.444126221,-2.6
3.96,0.374185083,-2.6
3.98,0.444126221,-2.6
4,0.374185083,-2.6
4.02,0.584008495,-2.6
4.04,0.514067358,-2.6
4.06,0.723890769,-2.6
4.08,0.584008495,-2.7
4.1,0.304243946,-2.6
4.12,0.653949632,-2.6
4.14,0.653949632,-2.6
4.16,0.863773043,-2.7
4.18,0.374185083,-2.6
4.2,0.304243946,-2.6
4.22,0.514067358,-2.6
4.24,0.374185083,-2.7
4.26,0.164361672,-2.7
4.28,-0.046336003,-2.7
4.3,-0.186218278,-2.7
4.32,0.093546271,-2.7
4.34,-0.11627714,-2.7
4.36,0.024479398,-2.7
4.38,-0.186218278,-2.7
4.4,0.164361672,-2.7
4.42,0.233428545,-2.7
4.44,0.164361672,-2.7
4.46,0.584008495,-2.6
4.48,0.233428545,-2.6
4.5,0.164361672,-2.6
4.52,0.444126221,-2.5
4.54,0.444126221,-2.5
4.56,0.584008495,-2.4
4.58,0.233428545,-2.4
4.6,0.514067358,-2.4
4.62,0.514067358,-2.5
4.64,0.653949632,-2.5
4.66,0.584008495,-2.5
4.68,0.024479398,-2.5
4.7,0.723890769,-2.5
4.72,0.374185083,-2.5
4.74,0.374185083,-2.5
4.76,0.514067358,-2.5
4.78,0.444126221,-2.5
4.8,0.514067358,-2.5
4.82,0.444126221,-2.6
4.84,0.374185083,-2.6
4.86,0.514067358,-2.6
4.88,0.233428545,-2.6
4.9,0.164361672,-2.6
4.92,-0.046336003,-2.6
4.94,0.024479398,-2.6
4.96,0.304243946,-2.6
4.98,0.304243946,-2.6
5,0.093546271,-2.6
5.02,0.164361672,-2.6
5.04,0.514067358,-2.6
5.06,0.304243946,-2.6
5.08,0.093546271,-2.6
5.1,0.233428545,-2.6
5.12,0.024479398,-2.6
5.14,0.024479398,-2.6
5.16,-0.046336003,-2.6
5.18,-0.046336003,-2.6
5.2,0.233428545,-2.6
5.22,-0.11627714,-2.6
5.24,0.164361672,-2.6
5.26,-0.046336003,-2.6
5.28,0.304243946,-2.6
5.3,0.164361672,-2.6
5.32,0.024479398,-2.6
5.34,0.233428545,-2.6
5.36,-0.046336003,-2.6
5.38,0.444126221,-2.6
5.4,0.304243946,-2.6
5.42,0.093546271,-2.6
5.44,0.584008495,-2.6
5.46,0.444126221,-2.6
5.48,0.444126221,-2.6
5.5,0.514067358,-2.5
5.52,0.723890769,-2.5
5.54,0.793831906,-2.5
5.56,0.374185083,-2.5
5.58,0.233428545,-2.5
5.6,0.444126221,-2.5
5.62,0.444126221,-2.5
5.64,0.514067358,-2.5
5.66,0.374185083,-2.5
5.68,0.164361672,-2.4
5.7,0.233428545,-2.3
5.72,0.024479398,-2.3
5.74,-0.046336003,-2.2
5.76,0.093546271,-2.1
5.78,0.093546271,-2.1
5.8,0.093546271,-1.9
5.82,-0.046336003,-1.7
5.84,0.164361672,-1.6
5.86,-0.046336003,-1.6
5.88,0.024479398,-1.3
5.9,-0.046336003,-1.1
5.92,-0.046336003,-0.9
5.94,0.024479398,-0.9
5.96,-0.046336003,-0.7
5.98,-0.046336003,-0.5
6,-0.256159415,-0.4
6.02,0.093546271,-0.3
6.04,-0.256159415,-0.3
6.06,-0.326100552,-0.3
6.08,-0.046336003,-0.3
6.1,0.024479398,-0.3
6.12,-0.186218278,-0.3
6.14,-0.186218278,-0.3
6.16,-0.186218278,-0.3
6.18,-0.046336003,-0.3
6.2,0.093546271,-0.3
6.22,-0.186218278,-0.3
6.24,-0.186218278,-0.3
6.26,0.233428545,-0.4
6.28,-0.326100552,-0.4
6.3,-0.11627714,-0.3
6.32,0.444126221,-0.4
6.34,0.164361672,-0.4
6.36,-0.11627714,-0.4
6.38,-0.11627714,-0.4
6.4,-0.186218278,-0.4
6.42,-0.046336003,-0.4
6.44,-0.046336003,-0.5
6.46,-0.186218278,-0.6
6.48,0.024479398,-0.6
6.5,0.374185083,-0.7
6.52,0.024479398,-0.7
6.54,0.024479398,-0.7
6.56,-0.256159415,-0.8
6.58,-0.046336003,-0.8
6.6,0.233428545,-0.8
6.62,-0.186218278,-0.8
