time,yaw_rate_deg,steering_angle_deg
0.02,-0.0848,-1.5
0.04,-0.01574,-1.5
0.06,-0.15562,-1.5
0.08,-0.01574,-1.5
0.1,-0.0848,-1.5
0.12,0.194961,-1.5
0.14,-0.01574,-1.5
0.16,0.055079,-1.5
0.18,-0.01574,-1.5
0.2,-0.0848,-1.5
0.22,0.194961,-1.5
0.24,0.055079,-1.5
0.26,-0.01574,-1.5
0.28,0.055079,-1.5
0.3,-0.01574,-1.5
0.32,-0.01574,-1.5
0.34,0.055079,-1.5
0.36,0.194961,-1.5
0.38,0.194961,-1.5
0.4,-0.0848,-1.5
0.42,-0.01574,-1.5
0.44,-0.01574,-1.5
0.46,-0.0848,-1.5
0.48,-0.0848,-1.5
0.5,-0.01574,-1.5
0.52,-0.15562,-1.5
0.54,-0.0848,-1.5
0.56,-0.01574,-1.5
0.58,0.055079,-1.5
0.6,0.055079,-1.5
0.62,-0.01574,-1.5
0.64,-0.22556,-1.5
0.66,-0.0848,-1.5
0.68,-0.01574,-1.5
0.7,-0.01574,-1.5
0.72,0.055079,-1.5
0.74,0.055079,-1.5
0.76,-0.0848,-1.5
0.78,0.055079,-1.5
0.8,-0.01574,-1.5
0.82,0.055079,-1.5
0.84,-0.01574,-1.5
0.86,-0.01574,-1.5
0.88,-0.01574,-1.5
0.9,0.055079,-1.5
0.92,-0.01574,-1.5
0.94,0.124146,-1.5
0.96,0.055079,-1.5
0.98,-0.01574,-1.5
1,-0.22556,-1.5
1.02,-0.01574,-1.5
1.04,0.055079,-1.5
1.06,-0.15562,-1.5
1.08,0.055079,-1.5
1.1,-0.0848,-1.5
1.12,-0.0848,-1.5
1.14,0.055079,-1.5
1.16,0.124146,-1.5
1.18,-0.0848,-1.5
1.2,-0.0848,-1.5
1.22,0.055079,-1.5
1.24,-0.01574,-1.5
1.26,0.055079,-1.5
1.28,-0.01574,-1.5
1.3,-0.01574,-1.5
1.32,-0.01574,-1.5
1.34,-0.01574,-1.5
1.36,0.055079,-1.5
1.38,-0.01574,-1.5
1.4,-0.01574,-1.5
1.42,0.055079,-1.5
1.44,0.055079,-1.5
1.46,-0.0848,-1.5
1.48,-0.0848,-1.5
1.5,-0.0848,-1.5
1.52,-0.01574,-1.5
1.54,-0.22556,-1.5
1.56,0.055079,-1.5
1.58,-0.15562,-1.5
1.6,-0.01574,-1.5
1.62,-0.01574,-1.5
1.64,-0.01574,-1.5
1.66,-0.01574,-1.5
1.68,-0.01574,-1.5
1.7,0.055079,-1.5
1.72,-0.01574,-1.5
1.74,-0.15562,-1.5
1.76,-0.01574,-1.5
1.78,0.124146,-1.5
1.8,-0.01574,-1.5
1.82,-0.0848,-1.5
1.84,0.055079,-1.5
1.86,-0.0848,-1.5
1.88,-0.0848,-1.5
1.9,0.055079,-1.5
1.92,0.055079,-1.5
1.94,0.055079,-1.5
1.96,-0.0848,-1.5
1.98,-0.01574,-1.5
2,0.055079,-1.5
2.02,-0.01574,-1.5
2.04,0.124146,-1.5
2.06,-0.01574,-1.5
2.08,-0.01574,-1.5
2.1,0.055079,-1.5
2.12,-0.01574,-1.5
2.14,-0.0848,-1.5
2.16,0.124146,-1.5
2.18,-0.01574,-1.5
2.2,-0.0848,-1.5
2.22,-0.15562,-1.5
2.24,0.124146,-1.5
2.26,0.055079,-1.5
2.28,-0.0848,-1.5
2.3,-0.01574,-1.5
2.32,0.055079,-1.5
2.34,-0.01574,-1.5
2.36,-0.01574,-1.5
2.38,0.055079,-1.5
2.4,0.264902,-1.5
2.42,0.055079,-1.5
2.44,0.055079,-1.5
2.46,-0.01574,-1.5
2.48,-0.01574,-1.5
2.5,-0.01574,-1.5
2.52,-0.0848,-1.5
2.54,-0.15562,-1.5
2.56,-0.0848,-1.5
2.58,-0.01574,-1.5
2.6,-0.01574,-1.5
2.62,-0.15562,-1.5
2.64,-0.15562,-1.5
2.66,-0.01574,-1.5
2.68,0.055079,-1.5
2.7,-0.01574,-1.5
2.72,0.055079,-1.5
2.74,0.194961,-1.5
2.76,0.124146,-1.5
2.78,0.124146,-1.5
2.8,-0.01574,-1.5
2.82,-0.0848,-1.5
2.84,0.055079,-1.5
2.86,-0.01574,-1.5
2.88,0.055079,-1.5
2.9,0.055079,-1.5
2.92,-0.01574,-1.5
2.94,-0.0848,-1.5
2.96,-0.15562,-1.5
2.98,-0.15562,-1.5
3,0.055079,-1.5
3.02,-0.15562,-1.5
3.04,-0.01574,-1.5
3.06,-0.01574,-1.5
3.08,-0.22556,-1.5
3.1,-0.01574,-1.5
3.12,0.055079,-1.5
3.14,0.055079,-1.5
3.16,-0.0848,-1.5
3.18,0.055079,-1.5
3.2,0.124146,-1.5
3.22,-0.01574,-1.5
3.24,-0.01574,-1.5
3.26,0.055079,-1.5
3.28,0.055079,-1.5
3.3,-0.01574,-1.5
3.32,-0.01574,-1.5
3.34,-0.0848,-1.5
